Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks
	Unmanned Aerial System (UAS/UA)		Point	182000	
	Vertical Take-off and Landing (VTOL) Tactical Unmanned Aircraft (VTUA)		Point	182100	
	Orbit		Point	182200	
	Orbit - Figure Eight		Point	182300	
	Orbit - Race Track		Point	182400	
	Orbit - Random Closed		Point	182500	
Airspace Control Lines				190000	For training or hierarchical purposes
	Identification Friend or Foe Off Line		Line	190100	
	Identification Friend or Foe On Line		Line	190200	
Maritime Control Areas				200000	For training or hierarchical purposes
	Launch Area			200100	For training or hierarchical purposes
		Ellipse/Circle	Area	200101	
	Defended Area			200200	For training or hierarchical purposes
		Ellipse/Circle	Area	200201	
		Rectangle	Area	200202	
	No Attack (NOTACK) Zone		Area	200300	
	Ship Area of Interest		Point	200400	
		Ellipse/Circle	Area	200401	
		Rectangle	Area	200402	
	Active Manoeuvre Area		Point	200500	
	Cued Acquisition Doctrine		Point	200600	
	Radar Search Doctrine		Point	200700	
Maritime Control Points				210000	For training or hierarchical purposes
	Plan Ship		Point	210100	
	Aim Point		Point	210200	
	Defended Asset		Point	210300	
	Drop Point		Point	210400	
	Entry Point		Point	210500	
	Air  Detonation		Point	210600	
	Ground Zero		Point	210700	
	Impact Point		Point	210800	
	Predicted Impact Point		Point	210900	
	Launched Torpedo		Point	211000	
	Missile Detection Point		Point	211100	
	Acoustic Countermeasure (Decoy)		Point	211200	
	Electronic Countermeasures (ECM) Decoy		Point	211300	
	Brief Contact		Point	211400	
	Datum Lost Contact		Point	211500	
	BT Buoy Drop		Point	211600	
	Reported Bottomed Sub		Point	211700	
	Moving Haven		Point	211800	
	Screen Centre		Point	211900	
	Lost Contact		Point	212000	
	Sinker		Point	212100	
	Trial Track		Point	212200	
	Acoustic Fix		Point	212300	
	Electromagnetic Fix		Point	212400	
	Electromagnetic - Magnetic Anomaly Detection (MAD)		Point	212500	
	Optical Fix		Point	212600	
	Formation		Point	212700	
	Harbour		Point	212800	
	Harbour Entrance Point		Point	212900	
		A	Point	212901	
		Q	Point	212902	
		X	Point	212903	
		Y	Point	212904	
	Dip Position		Point	213000	
	Search		Point	213100	
	Search Area		Point	213200	
	Search Centre		Point	213300	
	Navigational Reference Point		Point	213400	
	Sonobuoy		Point	213500	
		Ambient Noise	Point	213501	
		Air Transportable Communication	Point	213502	
		Barra	Point	213503	
		Bathythermograph Transmitting	Point	213504	
		Command Active MultiBeam (CAMBS)	Point	213505	
		Command Active Sonobuoy Directional Command Active Sonobuoy System (CASS)	Point	213506	
		Directional Frequency Analysis and Recording (DIFAR)	Point	213507	
		Directional Command Active Sonobuoy System (DICASS)	Point	213508	
		Expendable Reliable Acoustic Path Sonobuoy (ERAPS)	Point	213509	
		Expired	Point	213510	
		Kingpin	Point	213511	
		Low Frequency Analysis and Recording (LOFAR)	Point	213512	
		Pattern Centre	Point	213513	
		Range Only	Point	213514	
		Vertical Line Array Directional Frequency Analysis and Recording (DIFAR)	Point	213515	
	Reference Point		Point	213600	
	Special Point		Point	213700	
	Navigational Reference Point(Points)		Point	213800	
	Data Link Reference Point		Point	213900	
	Forward Observer / Spotter Position		Point	214000	
	Vital Area Centre		Point	214100	
	Corridor Tab Point		Point	214200	
	Enemy Point		Point	214300	
	Marshall Point		Point	214400	
	Position and Intended Movement (PIM)		Point	214500	
	Pre-Landfall Waypoint		Point	214600	
	Estimated Position (EP)		Point	214700	
	Waypoint		Point	214800	
	General Subsurface Station		Point	214900	
	Submarine Subsurface Station		Point	215000	
	Submarine Antisubmarine Warfare Subsurface Station		Point	215100	
	Unmanned Underwater Vehicle Subsurface Station		Point	215200	
	Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Subsurface Station		Point	215300	
	Mine Warfare Unmanned Underwater Vehicle Subsurface Station		Point	215400	
	Surface Warfare Unmanned Underwater Vehicle Subsurface Station		Point	215500	
	General Surface Station		Point	215600	
	Antisubmarine Warfare (ASW) Surface Station		Point	215700	
	Mine Warfare Surface Station		Point	215800	
	Non-Combatant Surface Station		Point	215900	
	Picket Surface Station		Point	216000	
